Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 19:02:30,6741,157,6798
2017-07-07 19:03:00,4864,354,5084
2017-07-07 19:03:30,5784,261,6022
2017-07-07 19:04:00,4748,244,4888
2017-07-07 19:04:30,18737,190,18836
2017-07-07 19:05:00,4199,230,4420
2017-07-07 19:05:30,8117,410,8202
2017-07-07 19:06:00,6321,332,6529
2017-07-07 19:06:30,6040,592,6632
2017-07-07 19:07:00,5311,255,5539
2017-07-07 19:07:30,9662,1375,10955
2017-07-07 19:08:00,8320,342,8662
2017-07-07 19:08:30,4015,143,4144
2017-07-07 19:09:00,3602,454,4047
2017-07-07 19:09:30,5337,450,5776
2017-07-07 19:10:00,4317,163,4471
2017-07-07 19:10:30,2894,163,3004
2017-07-07 19:11:00,5112,169,5281
2017-07-07 19:11:30,2276,159,2435
2017-07-07 19:12:00,18046,95,17504
2017-07-07 19:12:30,1957,77,1953
2017-07-07 19:13:00,4578,363,4940
2017-07-07 19:13:30,3149,125,3270
2017-07-07 19:14:00,4197,204,4400
2017-07-07 19:14:30,2474,109,2541
2017-07-07 19:15:00,3351,194,3478
2017-07-07 19:15:30,33013,278,33219
2017-07-07 19:16:00,5348,241,5567
2017-07-07 19:16:30,4371,190,4404
2017-07-07 19:17:00,3696,197,3888
2017-07-07 19:17:30,4437,157,4535
2017-07-07 19:18:00,4264,135,4391
2017-07-07 19:18:30,4927,387,5264
2017-07-07 19:19:00,4898,141,5037
2017-07-07 19:19:30,4206,148,4229
2017-07-07 19:20:00,4743,267,5005
2017-07-07 19:20:30,5577,182,5759
2017-07-07 19:21:00,3364,164,3501
2017-07-07 19:21:30,3552,195,3660
2017-07-07 19:22:00,3143,143,3188
2017-07-07 19:22:30,4771,127,4773
2017-07-07 19:23:00,5173,160,5040
2017-07-07 19:23:30,2731,138,2866
2017-07-07 19:24:00,5500,432,5878
2017-07-07 19:24:30,5040,246,5139
2017-07-07 19:25:00,5163,302,5403
2017-07-07 19:25:30,3082,185,2992
2017-07-07 19:26:00,3768,237,3977
2017-07-07 19:26:30,4126,224,4245
2017-07-07 19:27:00,4781,245,4995
2017-07-07 19:27:30,3164,274,3422
2017-07-07 19:28:00,2483,235,2714
2017-07-07 19:28:30,4942,282,5095
2017-07-07 19:29:00,4616,242,4828
2017-07-07 19:29:30,7053,529,7526
2017-07-07 19:30:00,5411,395,5806
2017-07-07 19:30:30,3934,225,4115
2017-07-07 19:31:00,4317,192,4479
2017-07-07 19:31:30,3326,394,3720
2017-07-07 19:32:00,3254,288,3521
2017-07-07 19:32:30,4521,171,4630
2017-07-07 19:33:00,5859,174,5741
2017-07-07 19:33:30,4058,158,4209
2017-07-07 19:34:00,5606,243,5848
2017-07-07 19:34:30,3601,240,3589
2017-07-07 19:35:00,6505,342,6843
2017-07-07 19:35:30,2826,235,2978
2017-07-07 19:36:00,4622,259,4859
2017-07-07 19:36:30,5924,239,6162
2017-07-07 19:37:00,4184,213,4375
2017-07-07 19:37:30,3823,432,4176
2017-07-07 19:38:00,3357,512,3846
2017-07-07 19:38:30,2153,218,2330
2017-07-07 19:39:00,3610,269,3877
2017-07-07 19:39:30,3733,215,3916
2017-07-07 19:40:00,6263,401,6648
2017-07-07 19:40:30,4404,464,4862
2017-07-07 19:41:00,2768,231,2997
2017-07-07 19:41:30,5372,284,5655
2017-07-07 19:42:00,5848,202,5836
2017-07-07 19:42:30,5563,217,5695
2017-07-07 19:43:00,2572,90,2647
2017-07-07 19:43:30,5479,153,5619
2017-07-07 19:44:00,4301,142,4311
2017-07-07 19:44:30,3087,143,3210
2017-07-07 19:45:00,5632,186,5725
2017-07-07 19:45:30,2737,104,2809
2017-07-07 19:46:00,2747,92,2780
2017-07-07 19:46:30,6839,120,6902
2017-07-07 19:47:00,3125,133,3257
2017-07-07 19:47:30,2683,121,2764
2017-07-07 19:48:00,4008,130,4135
2017-07-07 19:48:30,2229,143,2369
2017-07-07 19:49:00,4189,150,4335
2017-07-07 19:49:30,3072,183,3248
2017-07-07 19:50:00,2971,257,3227
2017-07-07 19:50:30,3840,264,4007
2017-07-07 19:51:00,3093,414,3474
2017-07-07 19:51:30,4886,145,4763
2017-07-07 19:52:00,2604,300,2897
2017-07-07 19:52:30,4829,386,5214
2017-07-07 19:53:00,2665,194,2855
2017-07-07 19:53:30,2877,183,3029
2017-07-07 19:54:00,3444,173,3552
2017-07-07 19:54:30,16053,186,16106
